index,model,temperature,history_range,predict_date,prediction,actual_value,prev_actual_value
GSPC,gemini/gemini-2.5-flash,0.0,7,2024-12-17,6071.38,6050.60986328125,6074.080078125
GSPC,gemini/gemini-2.5-flash,0.0,30,2024-12-17,6058.83,6050.60986328125,6074.080078125
GSPC,gemini/gemini-2.5-flash,0.5,7,2024-12-17,6065.15,6050.60986328125,6074.080078125
GSPC,gemini/gemini-2.5-flash,0.5,30,2024-12-17,6070.08,6050.60986328125,6074.080078125
GSPC,gemini/gemini-2.5-flash,1.0,7,2024-12-17,6066.15,6050.60986328125,6074.080078125
GSPC,gemini/gemini-2.5-flash,1.0,30,2024-12-17,6091.25,6050.60986328125,6074.080078125
GSPC,gpt-3.5-turbo,0.0,7,2024-12-17,6065.73,6050.60986328125,6074.080078125
GSPC,gpt-3.5-turbo,0.0,30,2024-12-17,6105.73,6050.60986328125,6074.080078125
GSPC,gpt-3.5-turbo,0.5,7,2024-12-17,500.0,6050.60986328125,6074.080078125
GSPC,gpt-3.5-turbo,0.5,30,2024-12-17,6100.73,6050.60986328125,6074.080078125
GSPC,gpt-3.5-turbo,1.0,7,2024-12-17,500.0,6050.60986328125,6074.080078125
GSPC,gpt-3.5-turbo,1.0,30,2024-12-17,6065.73,6050.60986328125,6074.080078125
RUT,gemini/gemini-2.5-flash,0.0,7,2024-12-17,2356.66,2334.080078125,2361.989990234375
RUT,gemini/gemini-2.5-flash,0.0,30,2024-12-17,2369.38,2334.080078125,2361.989990234375
RUT,gemini/gemini-2.5-flash,0.5,7,2024-12-17,2362.45,2334.080078125,2361.989990234375
RUT,gemini/gemini-2.5-flash,0.5,30,2024-12-17,2363.46,2334.080078125,2361.989990234375
RUT,gemini/gemini-2.5-flash,1.0,7,2024-12-17,2354.32,2334.080078125,2361.989990234375
RUT,gemini/gemini-2.5-flash,1.0,30,2024-12-17,2363.46,2334.080078125,2361.989990234375
RUT,gpt-3.5-turbo,0.0,7,2024-12-17,2358.72,2334.080078125,2361.989990234375
RUT,gpt-3.5-turbo,0.0,30,2024-12-17,2389.72,2334.080078125,2361.989990234375
RUT,gpt-3.5-turbo,0.5,7,2024-12-17,2356.72,2334.080078125,2361.989990234375
