id,prompt_tokens,completion_tokens,total_tokens
GSPC-gemini/gemini-2.5-flash-0.0-7,148,2551,2699
GSPC-gemini/gemini-2.5-flash-0.0-30,355,6853,7208
GSPC-gemini/gemini-2.5-flash-0.5-7,148,6079,6227
GSPC-gemini/gemini-2.5-flash-0.5-30,355,10151,10506
GSPC-gemini/gemini-2.5-flash-1.0-7,148,5261,5409
GSPC-gemini/gemini-2.5-flash-1.0-30,355,5868,6223
GSPC-gpt-3.5-turbo-0.0-7,127,4,131
GSPC-gpt-3.5-turbo-0.0-30,265,4,269
GSPC-gpt-3.5-turbo-0.5-7,127,22,149
GSPC-gpt-3.5-turbo-0.5-30,265,4,269
GSPC-gpt-3.5-turbo-1.0-7,127,22,149
GSPC-gpt-3.5-turbo-1.0-30,265,4,269
RUT-gemini/gemini-2.5-flash-0.0-7,154,3960,4114
RUT-gemini/gemini-2.5-flash-0.0-30,361,6738,7099
RUT-gemini/gemini-2.5-flash-0.5-7,154,5501,5655
RUT-gemini/gemini-2.5-flash-0.5-30,361,7098,7459
RUT-gemini/gemini-2.5-flash-1.0-7,154,2877,3031
RUT-gemini/gemini-2.5-flash-1.0-30,361,5429,5790
RUT-gpt-3.5-turbo-0.0-7,135,4,139
RUT-gpt-3.5-turbo-0.0-30,273,4,277
RUT-gpt-3.5-turbo-0.5-7,135,4,139
RUT-gpt-3.5-turbo-0.5-30,273,4,277
RUT-gpt-3.5-turbo-1.0-7,135,4,139
RUT-gpt-3.5-turbo-1.0-30,273,4,277
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.0-7,145,8,153
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.0-30,352,8,360
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.5-7,145,8,153
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.5-30,352,8,360
GSPC-bedrock/us.amazon.nova-lite-v1:0-1.0-7,145,8,153
GSPC-bedrock/us.amazon.nova-lite-v1:0-1.0-30,352,8,360
RUT-bedrock/us.amazon.nova-lite-v1:0-0.0-7,153,8,161
RUT-bedrock/us.amazon.nova-lite-v1:0-0.0-30,360,8,368
RUT-bedrock/us.amazon.nova-lite-v1:0-0.5-7,153,8,161
RUT-bedrock/us.amazon.nova-lite-v1:0-0.5-30,360,8,368
RUT-bedrock/us.amazon.nova-lite-v1:0-1.0-7,153,8,161
RUT-bedrock/us.amazon.nova-lite-v1:0-1.0-30,360,8,368
GSPC-gemini/gemini-2.5-flash-0.0-7,148,7306,7454
GSPC-gemini/gemini-2.5-flash-0.0-30,355,4665,5020
GSPC-gemini/gemini-2.5-flash-0.5-7,148,3858,4006
GSPC-gemini/gemini-2.5-flash-0.5-30,355,7864,8219
GSPC-gemini/gemini-2.5-flash-1.0-7,148,4041,4189
GSPC-gemini/gemini-2.5-flash-1.0-30,355,8082,8437
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.0-7,145,8,153
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.0-30,352,8,360
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.5-7,145,8,153
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.5-30,352,8,360
GSPC-bedrock/us.amazon.nova-lite-v1:0-1.0-7,145,8,153
